Schedule,Loop 1 Avg Time,Loop 2 Avg Time
static,3.2059532,11.2189043
auto,1.7613577,9.693152
"static,1",1.8235949,3.847591
"static,2",1.8197722,2.897428
"static,4",1.806176,2.4471673
"static,8",1.8255946,2.6893508
"static,16",1.8667384,2.6976323
"static,32",1.8997857,4.3166497
"static,64",2.1028164,7.9907795
"dynamic,1",1.8380295,1.9549428
"dynamic,2",1.8326317,1.949296
"dynamic,4",1.7967064,1.898433
"dynamic,8",1.8118098,1.8945271
"dynamic,16",1.8375849,1.9060203
"dynamic,32",1.9175005,3.7190963
"dynamic,64",2.1043414,7.3853032
"guided,1.txt",1.7620578,9.6590183
"guided,2",1.7684954,9.7114885
"guided,4",1.7747779,9.6278955
"guided,8",1.8077909,9.6271307
"guided,16",1.8195306,9.6706608
"guided,32",1.9176622,9.6170466
"guided,64",2.052273,9.6190735
