File,Loop 1 Avg Time,Loop 1 Times,Loop 2 Avg Time,Loop 2 Times
auto.txt,1.7613577,"1.746984, 1.750005, 1.743778, 1.751751, 1.761695, 1.762678, 1.767913, 1.781928, 1.772779, 1.774066",9.693152000000001,"9.576571, 9.698904, 9.580449, 9.641012, 9.758184, 9.682638, 9.779575, 9.766282, 9.776871, 9.671034"
"dynamic,1.txt",1.8380294999999998,"1.818065, 1.809548, 1.821181, 1.824166, 1.815111, 1.826617, 1.809299, 1.819923, 2.009792, 1.826593",1.9549428000000002,"1.948002, 1.947613, 1.930916, 1.930891, 1.947741, 1.961312, 1.955068, 1.965546, 2.013657, 1.948682"
"dynamic,16.txt",1.8375849000000002,"1.854014, 1.839391, 1.852163, 1.833178, 1.827767, 1.830775, 1.830982, 1.84775, 1.828844, 1.830985",1.9060203000000002,"1.961355, 1.905262, 1.899116, 1.897525, 1.906331, 1.895758, 1.89049, 1.896771, 1.877258, 1.930337"
"dynamic,2.txt",1.8326316999999999,"1.838293, 1.827531, 1.825692, 1.831314, 1.826413, 1.821454, 1.832609, 1.824465, 1.858143, 1.840403",1.949296,"1.955706, 1.946839, 1.950297, 1.943384, 1.929881, 1.953081, 1.948585, 1.965488, 1.958174, 1.941525"
"dynamic,32.txt",1.9175004999999998,"1.914689, 1.911099, 1.914194, 1.900424, 1.928094, 1.923671, 1.927268, 1.94253, 1.905829, 1.907207",3.7190963000000004,"3.697635, 3.732959, 3.710928, 3.701469, 3.740378, 3.734061, 3.751979, 3.714526, 3.711908, 3.69512"
"dynamic,4.txt",1.7967064000000001,"1.815941, 1.799111, 1.782447, 1.834089, 1.795069, 1.777146, 1.807129, 1.796161, 1.781527, 1.778444",1.898433,"1.937727, 1.905314, 1.906434, 1.876848, 1.891829, 1.888881, 1.89415, 1.900027, 1.895986, 1.887134"
"dynamic,64.txt",2.1043414,"2.101418, 2.10088, 2.126918, 2.119305, 2.123465, 2.100253, 2.127563, 2.066512, 2.071946, 2.105154",7.385303200000001,"7.469308, 7.538279, 7.401234, 7.390649, 7.332152, 7.401152, 7.205444, 7.368914, 7.331793, 7.414107"
"dynamic,8.txt",1.8118098,"1.834201, 1.805494, 1.820429, 1.810191, 1.825235, 1.795398, 1.81331, 1.800635, 1.810337, 1.802868",1.8945271000000001,"1.909742, 1.89351, 1.90668, 1.900021, 1.878421, 1.882281, 1.895736, 1.895036, 1.878281, 1.905563"
"guided,1.txt",1.7620577999999998,"1.737763, 1.760851, 1.759132, 1.774208, 1.771462, 1.764498, 1.761616, 1.766867, 1.758132, 1.766049",9.6590183,"9.617847, 9.882711, 9.587721, 9.689559, 9.625413, 9.673752, 9.774249, 9.454135, 9.627214, 9.657582"
"guided,16.txt",1.8195306000000002,"1.813563, 1.824237, 1.815277, 1.824503, 1.84482, 1.834005, 1.809622, 1.800846, 1.815306, 1.813127",9.6706608,"9.696787, 9.66376, 9.699923, 9.716221, 9.585306, 9.66528, 9.606421, 9.726144, 9.656085, 9.690681"
"guided,2.txt",1.7684953999999997,"1.776986, 1.784271, 1.764012, 1.763927, 1.7724, 1.759181, 1.777292, 1.753096, 1.776186, 1.757603",9.711488499999998,"9.668423, 9.698812, 9.78537, 9.790031, 9.699451, 9.71159, 9.683173, 9.530976, 9.732503, 9.814556"
"guided,32.txt",1.9176622,"1.932501, 1.93926, 1.9159, 1.92455, 1.917328, 1.916987, 1.900534, 1.910798, 1.904132, 1.914632",9.6170466,"9.506665, 9.601168, 9.63085, 9.780703, 9.474123, 9.573338, 9.790718, 9.485093, 9.759188, 9.56862"
"guided,4.txt",1.7747779000000001,"1.794046, 1.773327, 1.765811, 1.759479, 1.76694, 1.769639, 1.777352, 1.752171, 1.745257, 1.843757",9.6278955,"9.678861, 9.523165, 9.642643, 9.665529, 9.692395, 9.203278, 9.854961, 9.610849, 9.639341, 9.767933"
"guided,64.txt",2.0522730000000005,"2.040468, 2.05073, 2.072516, 2.052457, 2.029035, 2.066526, 2.036676, 2.065931, 2.034006, 2.074385",9.6190735,"9.789198, 9.722437, 9.693867, 9.707444, 9.577536, 9.616439, 9.740424, 9.687748, 9.567719, 9.087923"
"guided,8.txt",1.8077908999999999,"1.789182, 1.787931, 1.814557, 1.8056, 1.799052, 1.821398, 1.816271, 1.80533, 1.813708, 1.82488",9.6271307,"9.501312, 9.688037, 9.567847, 9.62135, 9.441787, 9.750561, 9.649677, 9.660733, 9.626159, 9.763844"
"static,1.txt",1.8235948999999998,"1.833688, 1.832042, 1.829139, 1.840923, 1.811393, 1.811801, 1.813605, 1.823405, 1.82113, 1.818823",3.847591,"3.752397, 3.698629, 3.812196, 3.861776, 3.869121, 3.883519, 3.872558, 3.789645, 4.100412, 3.835657"
"static,16.txt",1.8667383999999998,"1.885562, 1.882334, 1.864412, 1.893074, 1.863896, 1.865108, 1.873807, 1.83627, 1.848413, 1.854508",2.6976323,"2.673423, 2.708414, 2.70067, 2.786027, 2.680746, 2.686066, 2.701506, 2.67445, 2.683636, 2.681385"
"static,2.txt",1.8197722000000003,"1.825392, 1.80754, 1.812861, 1.804962, 1.824284, 1.803858, 1.793618, 1.905936, 1.789422, 1.829849",2.8974280000000006,"2.883272, 2.914969, 2.862988, 2.905565, 3.020911, 2.890271, 2.882547, 2.8366, 2.888999, 2.888158"
"static,32.txt",1.8997857000000002,"1.878238, 1.881035, 1.908939, 1.907454, 1.955717, 1.870089, 1.899686, 1.872871, 1.914867, 1.908961",4.3166497,"4.290244, 4.311719, 4.326931, 4.314394, 4.303711, 4.381767, 4.30595, 4.32345, 4.301823, 4.306508"
"static,4.txt",1.8061760000000002,"1.824504, 1.800666, 1.803723, 1.814803, 1.798541, 1.8381, 1.798085, 1.802165, 1.785307, 1.795866",2.4471673,"2.438844, 2.434599, 2.444281, 2.442899, 2.471273, 2.463586, 2.448419, 2.423426, 2.465444, 2.438902"
"static,64.txt",2.1028163999999996,"2.006213, 2.00062, 2.035454, 2.011188, 2.026871, 2.096735, 2.182678, 2.141114, 2.29921, 2.228081",7.9907794999999995,"7.873822, 7.882833, 8.105526, 7.869624, 8.036991, 8.022639, 7.729346, 8.112735, 8.136703, 8.137576"
